user_id,date,distance_km,duration_sec,avg_hr
3905196,2015-12-07,16.24,4707,134.38
3905196,2015-10-31,7.65,2079,149.182
854368,2015-11-01,20.78,6564,164.94
854368,2015-10-13,12.74,4162,152.56
854368,2015-10-06,14.57,4867,151.55
854368,2015-09-26,12.8,4207,153.334
854368,2015-09-22,15.0,5022,150.6
854368,2015-09-19,11.7,3844,155.3
854368,2015-06-05,15.12,4936,154.832
854368,2015-05-30,17.78,6080,152.252
854368,2015-05-19,9.34,3202,149.198
854368,2015-05-16,16.79,5733,151.13
854368,2015-02-28,17.73,5926,151.376
854368,2015-02-14,22.63,7549,151.096
854368,2015-02-10,10.56,3639,151.608
854368,2015-02-08,15.21,4445,166.004
4419649,2014-12-12,10.63,3286,160.528
4419649,2014-10-03,8.38,2372,165.072
4419649,2014-08-31,7.61,2402,153.202
4419649,2014-08-30,12.93,4236,160.83
4419649,2014-07-28,7.71,2486,155.358
8467445,2015-10-18,6.63,2413,136.732
8467445,2015-10-16,6.56,2358,136.52
8467445,2015-10-11,6.52,2391,138.63
8467445,2015-08-27,3.52,1590,112.18
732008,2015-04-04,21.58,10586,143.346
6361870,2014-04-13,10.34,3079,171.858
6361870,2014-04-11,10.27,3386,156.054
6361870,2014-04-01,10.18,3286,149.95
6361870,2014-03-23,10.28,3308,154.58
6361870,2014-03-16,10.16,3304,159.462
6361870,2014-02-24,10.29,2978,170.956
6361870,2014-02-09,10.16,3256,164.522
6361870,2014-02-08,9.32,3256,155.636
6361870,2014-01-05,10.18,3660,142.468
6361870,2014-01-01,10.32,3152,167.622
6361870,2013-12-31,10.23,3424,157.124
6361870,2013-12-26,10.31,3436,160.336
6361870,2013-12-22,11.84,4359,147.382
6361870,2013-12-15,10.23,3449,160.05
6361870,2013-11-30,10.26,3407,150.868
6361870,2013-11-17,10.1,3207,155.314
6361870,2013-11-09,12.14,4070,151.814
6361870,2013-10-20,10.19,3219,160.362
6361870,2013-10-16,10.26,3176,161.31
6361870,2013-10-13,21.44,6992,166.952
885462,2015-06-08,13.02,3629,153.978
885462,2015-04-20,3.05,901,145.962
885462,2015-04-20,3.85,885,162.902
885462,2015-04-14,2.52,842,146.704
885462,2015-04-14,7.63,1706,170.66
885462,2015-04-14,4.56,1271,156.964
885462,2015-04-10,4.07,1233,142.948
885462,2015-04-08,3.97,1269,139.722
885462,2015-04-07,4.3,1340,145.4
885462,2015-04-05,16.99,4234,101.924
885462,2015-04-02,10.23,2700,156.426
885462,2015-04-02,1.92,567,148.124
885462,2015-03-28,2.0,605,146.406
885462,2015-03-28,21.84,5648,157.916
885462,2015-03-27,3.84,1202,143.166
885462,2015-03-25,3.89,1209,145.11
885462,2015-03-21,2.08,612,140.542
885462,2015-03-21,18.8,5133,148.696
885462,2015-03-17,8.97,2399,154.838
885462,2015-03-17,2.28,679,140.366
885462,2015-03-13,3.64,1170,144.808
885462,2015-03-11,9.79,2705,156.044
885462,2015-03-08,2.07,605,153.866
885462,2015-03-07,22.37,5874,160.174
885462,2015-03-06,4.02,1213,153.738
885462,2015-03-05,10.24,2816,152.034
885462,2015-03-04,4.18,1188,149.222
885462,2015-03-01,2.01,607,152.004
885462,2015-02-27,3.93,1246,143.574
885462,2015-02-24,4.3,1258,150.598
885462,2015-02-24,7.75,2195,146.76
885462,2015-02-22,2.31,671,151.85
885462,2015-02-18,4.09,1207,149.17
885462,2015-02-13,4.09,1203,152.66
885462,2015-02-11,10.17,2781,155.008
885462,2015-02-11,4.58,1446,141.824
885462,2015-02-09,2.16,610,151.238
885462,2015-02-09,15.31,3916,157.874
885462,2015-02-08,10.47,2923,147.452
885462,2015-02-06,12.56,3300,157.624
885462,2015-02-06,2.07,611,140.892
885462,2015-02-04,8.99,2400,153.35
885462,2015-02-04,2.01,605,139.02
885462,2015-02-02,2.3,674,142.914
885462,2015-02-02,15.0,3607,163.488
885462,2015-02-01,10.26,2796,151.904
885462,2015-01-30,11.35,3000,154.588
885462,2015-01-30,2.05,611,139.826
885462,2015-01-29,9.91,2727,149.748
885462,2015-01-27,9.3,2400,155.17
885462,2015-01-27,2.14,609,143.526
885462,2015-01-26,2.08,634,142.894
885462,2015-01-26,9.0,2332,156.78
885462,2015-01-22,10.46,2700,159.964
885462,2015-01-22,2.29,666,143.778
885462,2015-01-22,9.26,2619,147.75
885462,2015-01-21,9.27,2408,156.986
885462,2015-01-21,2.26,649,132.914
885462,2015-01-18,2.17,603,146.038
885462,2015-01-18,10.28,2784,153.79
885462,2015-01-16,9.15,2400,160.658
885462,2015-01-15,6.36,1986,143.248
885462,2015-01-14,9.18,2400,161.748
885462,2015-01-14,2.09,603,146.412
885462,2015-01-11,9.79,2796,146.028
885462,2015-01-09,7.82,2100,157.574
885462,2015-01-09,2.04,613,133.456
885462,2015-01-06,8.79,2400,159.192
885462,2015-01-02,6.75,1800,156.138
885462,2015-01-02,2.1,603,143.274
885462,2015-01-01,7.09,1914,153.63
885462,2014-12-31,8.83,2400,156.978
885462,2014-12-29,17.67,4550,156.55
885462,2014-12-27,7.24,1805,160.562
885462,2014-12-27,2.08,601,141.456
885462,2014-12-26,3.1,902,145.8
885462,2014-12-25,7.42,1803,161.028
885462,2014-12-24,3.3,926,155.788
885462,2014-12-22,17.45,4692,147.73
885462,2014-12-21,6.96,1802,147.01
885462,2014-12-21,2.27,657,131.29
885462,2014-12-19,3.27,925,146.42
885462,2014-12-18,6.66,1842,140.126
885462,2014-12-17,2.95,902,149.608
885462,2014-12-15,16.11,4470,151.67
885462,2014-12-14,9.47,2766,145.132
885462,2014-12-12,3.06,902,151.374
885462,2014-12-10,2.93,876,148.442
885462,2014-12-10,4.62,1404,138.248
885462,2014-12-08,16.47,4593,143.938
885462,2014-12-07,4.01,1198,146.918
885462,2014-12-05,4.42,1314,145.146
885462,2014-12-04,9.77,2706,154.526
885462,2014-12-03,3.16,903,157.652
885462,2014-11-04,6.5,1803,153.276
885462,2014-10-31,7.6,2100,158.208
885462,2014-10-31,1.89,604,139.722
885462,2014-10-27,10.72,2703,160.746
13693003,2015-12-30,16.18,4676,153.648
13693003,2015-12-26,7.2,2033,149.166
13693003,2015-12-18,19.67,5706,153.306
13693003,2015-12-14,8.09,2136,164.992
13693003,2015-12-08,21.26,6018,157.15
13693003,2015-11-17,17.68,5272,149.618
13693003,2015-11-07,11.93,3395,152.962
13693003,2015-11-02,8.06,2031,164.002
13693003,2015-10-16,21.06,6268,145.888
13693003,2015-10-08,6.08,1905,179.858
13693003,2015-10-04,7.94,2068,162.124
13693003,2015-09-26,9.08,2541,159.618
13693003,2015-09-17,18.55,5597,140.1
13693003,2015-09-07,11.73,3436,141.8
13693003,2015-08-16,20.46,5840,154.154
13693003,2015-08-13,8.44,2376,149.64
13693003,2015-08-06,21.94,6376,150.476
13693003,2015-07-23,14.63,4075,147.974
13693003,2015-07-09,23.49,6876,144.72
13693003,2015-07-03,16.15,5017,140.976
13693003,2015-06-19,22.61,6737,140.488
13693003,2015-06-13,23.36,7214,147.544
13693003,2015-06-04,21.1,6106,158.684
13693003,2015-05-29,12.05,3351,150.248
5325166,2015-06-11,43.61,6263,129.796
5325166,2014-05-20,7.4,3296,152.44
5325166,2014-05-06,5.09,2333,137.214
5325166,2014-04-15,7.27,3140,146.044
5325166,2014-04-05,8.57,4074,138.14
5325166,2014-04-01,7.54,3664,144.918
5325166,2014-03-25,6.47,3376,139.956
5325166,2013-10-28,5.12,2318,141.328
5325166,2013-10-16,7.74,3018,155.506
5325166,2013-09-03,5.07,2207,140.646
5325166,2013-05-04,6.51,2709,138.302
5325166,2013-04-21,10.76,3523,172.134
5325166,2013-03-21,9.25,3751,139.404
5325166,2013-03-17,7.13,3127,135.782
5325166,2013-03-11,15.32,6290,141.726
5325166,2013-02-25,10.24,3269,168.554
5325166,2013-02-18,18.41,6319,163.576
5325166,2013-02-14,7.13,2657,145.184
5325166,2013-01-16,10.42,4052,143.272
5325166,2013-01-14,15.28,6168,143.59
5325166,2012-12-31,8.79,2883,168.226
5325166,2012-12-27,10.27,3361,173.374
5325166,2012-11-28,8.33,3253,151.906
5325166,2012-11-19,9.89,3271,169.022
5325166,2012-10-01,15.28,5170,170.058
5325166,2012-08-27,8.23,3274,139.026
5325166,2012-07-29,10.24,3819,145.22
5325166,2012-07-16,9.34,3819,156.198
10057948,2015-07-16,6.37,2585,134.702
10057948,2015-04-15,5.15,2203,146.48
3060590,2015-12-30,17.95,5207,144.384
3060590,2015-12-29,18.05,5044,146.952
3060590,2015-12-27,27.86,7720,153.914
3060590,2015-12-26,18.0,5365,152.034
3060590,2015-12-25,17.9,4899,149.582
3060590,2015-12-24,17.92,5196,143.198
3060590,2015-12-23,17.91,5300,146.852
3060590,2015-12-20,25.96,6921,156.088
3060590,2015-12-19,18.01,5319,143.844
3060590,2015-12-17,17.88,5208,147.624
3060590,2015-12-15,18.0,5312,151.48
3060590,2015-12-13,20.92,5702,155.862
3060590,2015-12-12,17.99,5238,144.776
3060590,2015-12-10,18.15,5176,147.11
3060590,2015-12-09,17.9,5298,145.58
